"My name is Inigo Montoya, you killed my father, prepare to die."|0
"You're a wizard, Harry!"|1
"Did somebody mention the Door to Darkness?"|2
"They'll pay for this"|2
"The darkness may destroy my body, but it can't touch my heart. My heart will stay with my friends. It'll never die!"|3
"Every blitzer knows: when you got the ball, you gotta score!"|4
"All worlds begin in darkness, and all so end. The heart is no different. Darkness sprouts within it, grows, consumes it. Such is its nature. In the end, every heart returns to the darkness whence it came. You see, darkness is the heart's true essence."|5
"This is a test quote from me."|7
"A HAAA HAAA HAAA HAAA HAAA"|4
*dies*|6
"Take a look at this tiny place. To the heart seeking freedom, this island is a prison, surrounded by water...and so this boy sought out to escape from his prison. He sought a way to cross over into other worlds, and he opened his heart to darkness."|5
"It is futile. The Keyblade alone cannot seal the door to darkness. Kingdom Hearts! Fill me... with the power of darkness...Supreme darkness..."|5
"I've been having these weird thoughts lately like is any of this for real or not?"|3
"Okey. Time to take yew down."|8
"Make a girl cry? That's not gonna fly. Make a girl smile? You pass the trial! That's the third rule of the Salvagers Code."|8
"Fourth rule: Open a chest, it might turn out great. Until then, it's just a crate."""|8
"Yoshiya Kiryu... Private dick extraordinare."|9
"I feel epic..."|9
"Alright, now today is gonna totally kick ass! ... Or... is it? Oh no... I can feel my inner-emo stirring... Must... fight... emo... urges... I know! I just need to think about the light of my life--my beacon of hope... My purpose! Tin Pin Slammer is my purpose!"|9
"I'm like a drug dealer for video games."|10
"I'm not a spicy tuna roll!"|9
"Because you like... beans. Who gets into coffee because they like BEANS? That's just... No."|9
"Zetta slow!"|11
"What's up, zeptograms?"|11
"Attention, you ramen-raiding radians!"|11
"ARGH! Just LOOKING at you makes me cringe!... It's coming loose. That button on your shorts!... OFF! Take your shorts off! I'll fix the button."|12
"This might be a good spot to find some ingredients."|13
"*needs to cast Curaga but never does when it's needed*"|13
"Well, you put everybody down there in that dungeon!"|13
"It's the Heartless. They've been attacking worlds and taking their hearts. And worlds with no hearts vanish into darkness. But if we can lock the door between the two realms—light and dark—from both sides, we can protect the other worlds. So ya see, I came here to find the key on this side. Turns out, it's not so easy getting into the realm of darkness. The points you can cross have become unstable. It's only when a world gets consumed, that an entrance appears in the realm between. So, I waited for my chance...to sneak in. But hey, when I got here, I felt a warm, familiar light. I followed it to find my way...to you."|2
"If the world is made of light and darkness... We'll be the darkness."|14
"Im you. Huh? But I'm me!"|14
"No. Sora was dragged into the abyss during his exam. And I went in after him. So, I think if we find someone who was really close to Aqua, and they make the dive, they could reach her down there."|14
"I'm really feeling it!"|15
"*still doesn't eat sandwich*"|15
"Now it's Reyn time!"|16
"Oh yeaaaa!"|16
"*sees Mr. X* Is this some kind of fucking joke?!"|17
Women.|17
"HOW MANY LIVES DOES THIS GUY HAVE?!?"|17
Forrrreal?!|18
"I guess now that I'm thinkin' about it, tryin' to fit in is a real pain in the ass."|18
"Today I’m holding the “Oven Mitt Puppets 101″ class, right here! Don’t worry, even you can do it! It’ll be reeeal cute!"|19
"Senpai, this is perfect! I’m a cute reindeer!"|19
"My own mom can’t cook this well...Mind making my school lunches?"|19
Boy.|20
"Do not mistake my silence for lack of grief."|20
"Zeus! Your son has returned. I bring the destruction of Olympus!"|20
"Don't be sorry. Be better. "|20
"Every human has regrets, has things they'd like to go back and change. But I don't because I am a bear!"|21
"I refuse to give up. I refuse to get bored. I refuse to throw it all away. I refuse to despair. Because all I have going for me is the desire to keep moving forward."|22
"*Without ever acknowledging that he's being watched, he does a short horse-dance before dismounting with a flourish. He then slaps the beautiful creature gently on its rear, sending it running free into the countryside.*"|23
Kiryu-chaaaaaan!|24
Objection!|25
"An updated autopsy report?! We weren't made aware of this!"|25
"*stares into your soul*"|26
"This is hopefully the final test quote, but who knows at this point"|7
